阿姨	āyí	aunt
赞赏	zàn shǎng	praise; panegyrize; eulogize; admiration
赞助	zànzhù	sponsor
造型	zàoxíng	style; modeling
战斗	zhàndòu	battle
战胜	zhàn shèng	defeat; conquer
战士	zhàn shì	warrior; soldier; fighter
战争	zhànzhēng	war
丈夫	zhàngfu	husband
招呼	zhāo hu	call; hail; greet; glad-hand
着	zhe	in process of
着火	zháohuǒ	on fire
着急	zháojí	worry
召开	zhàokāi	convene
折	zhé	fracture
针	zhēn	needle; injection
针对	zhēnduì	in the light of
阵	zhèn	front
争论	zhēnglùn	debate
征服	zhēngfú	conquer
征求	zhēngqiú	seek, ask for
政府	zhèngfǔ	government
政治	zhèngzhì	politics
之后	zhī hòu	later; after; afterwards
之间	zhī jiān	between; among
之前	zhī qián	before; prior to
之一	zhī yī	one of
支（动）	zhī	put up; protrude; support; send away
植物	zhíwù	botany
指挥	zhǐhuī	command
制订	zhì dìng	formulate; work out; map out
质量	zhìliàng	quality
治	zhì	rule; govern; manage; cure; treatment
治疗	zhìliáo	treatment
智力	zhìlì	intelligence
智能	zhìnéng	intelligence
中介	zhōngjiè	intermediary
种类	zhǒnglèi	type
中奖	zhòng jiǎng	win a lottery
种	zhǒng	species
种植	zhòngzhí	plant
重量	zhòngliàng	weight
逐步	zhúbù	gradually
逐渐	zhújiàn	gradually
主题	zhǔtí	theme
主席	zhǔxí	chairman
祝福	zhùfú	blessing
著名	zhùmíng	famous
著作	zhùzuò	work
抓紧	zhuājǐn	pay close attention to; grasp
专心	zhuānxīn	attentively
转动	zhuǎn dòng	turn; move; turn round
转告	zhuǎngào	tell
转身	zhuǎn shēn	turn round; face about
转弯	zhuǎn wān	make a turn; turn a corner
转移	zhuǎnyí	transfer
装修	zhuāngxiū	decorate house
装置	zhuāng zhì	device; equipment
追求	zhuīqiú	pursuit
准时	zhǔnshí	on time
资料	zīliào	data
资源	zīyuán	resources
自	zì	from; since; self; oneself
自信	zìxìn	self-confidence
字母	zìmǔ	letter
综合	zōnghé	comprehensive
总共	zǒnggòng	in total
总理	zǒnglǐ	prime minister
总统	zǒngtǒng	president
总之	zǒngzhī	in short
阻止	zǔzhǐ	prevent
嘴巴	zuǐ ba	mouth
最初	zuìchū	first
作出	zuò chū	make (a decision, etc.)
作为	zuòwéi	as
做梦	zuò mèng	dream; daydream
