阿姨	āyí	aunt
锻炼	duànliàn	physical exercise
对比	duìbǐ	contrast
对付	duìfu	deal with
对于	duìyú	about
多次	duō cì	repeatedly; many a time
多年	duō nián	many years
多样	duō yàng	diversity
多种	duō zhǒng	multiple; various; diversified; manifold
恶心	ěxin	disgusting
儿童	értóng	children
而	ér	and
而是	ér shì	but
耳机	ěr jī	earphone; headphone; headset
二手	èr shǒu	second hand
发挥	fāhuī	develop
发票	fāpiào	invoice
发烧	fāshāo	have a fever
法	fǎ	law; way; method; example; rule
法官	fǎ guān	judge
法律	fǎlǜ	law
法院	fǎyuàn	court
翻	fān	turn
翻译	fānyì	translate
烦	fán	bother; to bother
反	fǎn	turn over; rebel; on the contrary; instead
反而	fǎn'ér	instead
反映	fǎnyìng	reflect
方	fāng	square
方案	fāng'àn	programme
方针	fāngzhēn	policy
放松	fàngsōng	relax
非	fēi	wrong
肥	féi	fat; fertile
分布	fēnbù	distribution
分散	fēnsàn	dispersed
分手	fēnshǒu	break up
分为	fēn wéi	divide into
…分之…	… fēn zhī …	fractional number
纷纷	fēnfēn	one after another
奋斗	fèndòu	struggle
风格	fēnggé	style
风景	fēngjǐng	scenery
风俗	fēngsú	customs
封闭	fēngbì	close
否则	fǒuzé	otherwise
夫妇	fūfù	couple
夫妻	fū qī	man and wife
夫人	fūrén	madam
符号	fúhào	symbol
符合	fúhé	accord with
付出	fù chū	pay out
负担	fùdān	burden
附近	fùjìn	nearby
复制	fùzhì	copy
改善	gǎishàn	improve
改正	gǎizhèng	correction
盖	gài	cover
概括	gàikuò	generalization
感兴趣	gǎnxìngqù	be intretested in
高潮	gāocháo	climax
高价	gāo jià	high price
高尚	gāoshàng	noble
高铁	gāo tiě	high-speed train; high-speed rail
格外	géwài	especially
隔	gé	partition; separate; divide
隔开	gé kāi	separate; space out; separation; partition
个别	gèbié	individual
个体	gètǐ	individual
各个	gè gè	each
根	gēn	root
根据	gēnjù	according to
工程	gōng chéng	engineering; project
公元	gōngyuán	A.D.
供应	gōng yìng	supply; provide
共	gòng	common; general; share; together; altogether
构成	gòuchéng	constitute
构造	gòu zào	structure; construction
购买	gòu mǎi	buy; purchase
购物	gòuwù	shopping
骨头	gǔtou	bone
固定	gùdìng	fixed
瓜	guā	melon
怪（形、副）	guài	strange; odd; bewildering; very; quite; rather
关（名）	guān	pass; check point; customhouse; mechanism; barrier
关闭	guānbì	close; shut
关于	guānyú	about
官	guān	officer
官方	guānfāng	by the government official
光临	guānglín	presence
光盘	guāngpán	CD
逛	guàng	stroll
归	guī	return; go back
规律	guīlǜ	law
规模	guīmó	scale
规则	guīzé	rule
果实	guǒshí	fruit
过分	guòfèn	excessive
海水	hǎi shuǐ	seawater; brine; sea
海鲜	hǎixiān	seafood
含	hán	contain; cherish; nurse; keep
含量	hán liàng	content
含义	hányì	signification; meanings
含有	hán yǒu	contain; have
寒假	hánjià	winter vacation
寒冷	hán lěng	cold; frigid; chill; frigidity
行业	hángyè	industry
航班	hángbān	flight
航空	hángkōng	aviation
毫米	háomǐ	millimeter
毫升	háo shēng	milliliter
好友	hǎo yǒu	friend
号码	hàomǎ	number
好	hǎo	good
合同	hétong	contract
黑暗	hēi àn	dark; darkness; murk
红包	hóng bāo	red envelope; red packet
后头	hòu tou	back
厚	hòu	thick
呼吸	hūxī	breathing
忽视	hūshì	ignore
户	hù	household; family; door
护士	hùshi	nurse
花（形）	huā	multicolored; colored; flowery
划	huá	paddle, row
划	huà	transfer, assign, differentiate
