啊	a	ah
黄	huáng	yellow
黄色	huáng sè	yellow
回（量）	huí	(measure word)
回国	huí guó	return home from abroad
会（名）	huì	meeting; gathering; conference; union; party
活动	huódòng	activity
或	huò	or
或者	huòzhě	perhaps
机会	jīhuì	opportunity
鸡	jī	chicken
级	jí	level; rank; grade; degree; step
急	jí	fast; anxious; urgent; annoyed
计划	jìhuà	plan
计算机	jì suàn jī	computer
加	jiā	add; increase; put in
加油	jiā yóu	oil; refuel; make an all-out effort
家（科学家）	jiā	noun suffix (scientist)
家庭	jiātíng	family
家长	jiā zhǎng	parent; the head of the family
假	jiǎ	false 
假期	jià qī	holiday; vacation
检查	jiǎnchá	inspect; check
见到	jiàn dào	see
见过	jiàn guò	seen; have seen
件	jiàn	piece
健康	jiànkāng	healthy
讲	jiǎng	speak
讲话	jiǎng huà	speak; talk
交	jiāo	hand over
交给	jiāo gěi	hand over
交朋友	jiāo péng yǒu	make friends
交通	jiāotōng	traffic
角	jiǎo	horn
角度	jiǎodù	angle
饺子	jiǎozi	dumplings
脚	jiǎo	foot
叫作	jiào zuò	be called; be known as
教师	jiào shī	teacher
教室	jiàoshì	classroom
教学	jiào xué	teach
教育	jiàoyù	education
接	jiē	meet， pick
接到	jiē dào	receive
接受	jiēshòu	accept
接下来	jiē xià lái	next
接着	jiēzhe	next
街	jiē	street
节（名、量）	jié	festival; holiday; joint; (measure word)
节目	jiémù	program
节日	jiérì	festival
结果	jiéguǒ	result
借	jiè	borrow
斤	jīn	a unit of weight (=1/2 kilogram)
今后	jīn hòu	from now on; in the future
进入	jìn rù	enter; go in; join
进行	jìnxíng	conduct
近	jìn	near
经常	jīngcháng	often
经过	jīngguò	after, through
经理	jīnglǐ	manager
酒	jiǔ	alcohol; liqueur
酒店	jiǔ diàn	hotel
就要	jiù yào	be going to; be about to
举	jǔ	lift
举手	jǔ shǒu	raise one's hand or hands
举行	jǔxíng	hold
句	jù	sentence
句子	jùzi	sentence
卡	kǎ	card
开机	kāi jī	starting up
开心	kāixīn	happy
开学	kāi xué	school opens; term begins
看法	kànfǎ	view
考生	kǎo shēng	examinee
靠	kào	lean
科	kē	subject; family; section
科学	kēxué	science
可爱	kě'ài	lovely
可能	kěnéng	probably
可怕	kěpà	dreadful
可是	kěshì	however
可以	kěyǐ	sure
克	kè	gram
刻（量）	kè	a quarter (of an hour)
客人	kèrén	guest
课堂	kè táng	classroom
空气	kōngqì	atmosphere
哭	kū	cry
快餐	kuài cān	fast food
快点儿	kuài diǎnr	hurry up
快乐	kuàilè	happy
快要	kuài yào	be about to; be going to
